#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Ghouls 'n' Ghosts (Europe) (Disk 1);Ghouls 'n' Ghosts - Disk 1;Atari ST;;1988;;;;;;;;;;;;
Ghouls 'n' Ghosts (Europe) (Disk 2);Ghouls 'n' Ghosts - Disk 2;Atari ST;;1988;;;;;;;;;;;;
Gold of the Aztecs,The (Europe) (Disk 1);Gold of the Aztecs,The - Disk 1;Atari ST;;1990;;;;;;;;;;;;
Gold of the Aztecs,The (Europe) (Disk 2);Gold of the Aztecs,The - Disk 2;Atari ST;;1990;;;;;;;;;;;;
Golden Axe (Europe);Golden Axe;Atari ST;;1989;;;;;;;;;;;;
Great Courts 2 (Europe);Great Courts 2;Atari ST;;1990;;;;;;;;;;;;
Gremlins 2 - The New Batch (Europe);Gremlins 2: The New Batch;Atari ST;;1990;;;;;;;;;;;;
Hammerfist (Europe);Hammerfist;Atari ST;;1990;;;;;;;;;;;;
Haunted House (USA) (Unl);Haunted House;Atari ST;;1986;;;;;;;;;;;;
Horror Zombies from the Crypt (Europe);Horror Zombies from the Crypt;Atari ST;;1990;;;;;;;;;;;;
Hostages (Europe);Hostages;Atari ST;;1991;;;;;;;;;;;;
Hydra (Europe);Hydra;Atari ST;;1991;;;;;;;;;;;;
Ikari Warriors (Europe);Ikari Warriors;Atari ST;;1987;;;;;;;;;;;;
Impossible Mission II (USA);Impossible Mission II;Atari ST;;1988;;;;;;;;;;;;
Indiana Jones and the Fate of Atlantis (USA);Indiana Jones and the Fate of Atlantis;Atari ST;;1992;;;;;;;;;;;;
Indiana Jones and the Last Crusade - Arcade Game (USA);Indiana Jones and the Last Crusade: Arcade Game;Atari ST;;1989;;;;;;;;;;;;
Indiana Jones and the Temple of Doom (Europe);Indiana Jones and the Temple of Doom;Atari ST;;1988;;;;;;;;;;;;
Indigo (Europe) (Unl);Indigo;Atari ST;;2005;;;;;;;;;;;;
Indy Heat (Europe);Indy Heat;Atari ST;;1992;;;;;;;;;;;;
International Karate (Europe);International Karate;Atari ST;;1986;;;;;;;;;;;;
Into the Eagle's Nest (Europe);Into the Eagle's Nest;Atari ST;;1987;;;;;;;;;;;;
Ironman Ivan Stewart's Super Off Road (USA);Ironman Ivan Stewart's Super Off Road;Atari ST;;1990;;;;;;;;;;;;
Ivanhoe (Europe);Ivanhoe;Atari ST;;1989;;;;;;;;;;;;
Jim Power in Mutant Planet (Europe) (Disk 1);Jim Power in Mutant Planet - Disk 1;Atari ST;;1992;;;;;;;;;;;;
Jim Power in Mutant Planet (Europe) (Disk 2);Jim Power in Mutant Planet - Disk 2;Atari ST;;1992;;;;;;;;;;;;
Judge Dredd (Europe);Judge Dredd;Atari ST;;1990;;;;;;;;;;;;
Kick Off (Europe);Kick Off;Atari ST;;1989;;;;;;;;;;;;
Kid Gloves II (Europe);Kid Gloves II;Atari ST;;1992;;;;;;;;;;;;
Klax (Europe);Klax;Atari ST;;1990;;;;;;;;;;;;
Knight Force (Europe);Knight Force;Atari ST;;1989;;;;;;;;;;;;
Lagaf' - Les Aventures de Moktar (France);Lagaf': Les Aventures de Moktar;Atari ST;;1991;;;;;;;;;;;;
Last Ninja 2 (Europe);Last Ninja 2;Atari ST;;1990;;;;;;;;;;;;
Last Ninja 3 (Europe) (Disk 1);Last Ninja 3 - Disk 1;Atari ST;;1991;;;;;;;;;;;;
Last Ninja 3 (Europe) (Disk 2);Last Ninja 3 - Disk 2;Atari ST;;1991;;;;;;;;;;;;
Leander (Europe) (Disk 1);Leander - Disk 1;Atari ST;;1991;;;;;;;;;;;;
Leander (Europe) (Disk 2);Leander - Disk 2;Atari ST;;1991;;;;;;;;;;;;
Lemmings 2 - The Tribe (Europe);Lemmings 2: The Tribe;Atari ST;;1993;;;;;;;;;;;;
