#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Checkpoint (Data East) (1991) (1.1);Checkpoint;Future Pinball;;1991;Data East;;;;;;0;;;;;;;;;
Classic Panic (Original) (1.0);Classic Panic;Future Pinball;;2009;Original;;;;;;0;;;;;;;;;
Conan (Original) (1.1);Conan;Future Pinball;;2012;Original;;;;;;0;;;;;;;;;
Contra (Original) (2014) (1.0);Contra;Future Pinball;;2014;Original;;;;;;0;;;;;;;;;
Cosmic Gunfight (Williams) (1982) (1.1);Cosmic Gunfight;Future Pinball;;1982;Williams;;;;;;0;;;;;;;;;
Cow Poke (Gottlieb) (1965) (3.0);Cow Poke;Future Pinball;;1965;Gottlieb;;;;;;0;;;;;;;;;
Creature From The Black Lagoon (Bally) (1992) (1.2);Creature From The Black Lagoon;Future Pinball;;1992;Bally;;;;;;0;;;;;;;;;
Cross Country (Bally) (1963) (1.01);Cross Country;Future Pinball;;1963;Bally;;;;;;0;;;;;;;;;
Cyclone (Williams) (1988) (Ultimate) (1.02);Cyclone (Ultimate);Future Pinball;;1988;Williams;;;;;;0;;;;;;;;;
Dakar (Game Plan) (1988) (1.0);Dakar;Future Pinball;;1988;Game Plan;;;;;;0;;;;;;;;;
Dark Quest (Original) (1.0 Holo Fix);Dark Quest;Future Pinball;;2008;Original;;;;;;0;;;;;;;;;
Dark Rider (Geiger-Automatenbau GMBH) (1984) (1.0);Dark Rider;Future Pinball;;1984;Geiger-Automatenbau GMBH;;;;;;0;;;;;;;;;
Dawn Of The Dead (Original) (2015) (1.0);Dawn Of The Dead;Future Pinball;;2015;Original;;;;;;0;;;;;;;;;
Dead Hunters (Original) (UE) (1.01);Dead Hunters (UE);Future Pinball;;2007;Original;;;;;;0;;;;;;;;;
DeadShot (Original) (2015) (1.0);DeadShot;Future Pinball;;2015;Original;;;;;;0;;;;;;;;;
Deadly Weapon (Gottlieb) (1990) (WIP);Deadly Weapon;Future Pinball;;1990;Gottlieb;;;;;;0;;;;;;;;;
Devils Dare  (Gottlieb) (1982) (1.0b);Devils Dare;Future Pinball;;1982;Gottlieb;;;;;;0;;;;;;;;;
