#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
aceattac;Ace Attacker;Arcade;;1988;;;;;;;;;;;;;;;;
Actua Soccer 3;Actua Futbol 3;Sony Playstation;;1998;;;;;;;;;;;;;;;;
Adidas Power Soccer;Adidas Power Soccer;Sony Playstation;;1996;;;;;;;;;;;;;;;;
Adidas Power Soccer 2;Adidas Power Soccer 2;Sony Playstation;;1998;;;;;;;;;;;;;;;;
Adidas Power Soccer 98;Adidas Power Soccer 98;Sony Playstation;;1997;;;;;;;;;;;;;;;;
Agassi Tennis Generation (USA);Agassi Tennis Generation;Nintendo Game Boy Advance;;2003;;;;;;;;;;;;;;;;
koshien;Ah Eikou no Koshien;Arcade;;1990;;;;;;;;;;;;;;;;
Air Boarder 64 (Europe);Air Boarder 64;Nintendo 64;;1998;;;;;;;;;;;;;;;;
Alexi Lalas International Soccer;Alexi Lalas International Soccer;Sony Playstation;;1997;;;;;;;;;;;;;;;;
Alien Olympics 2044 AD (Europe);Alien Olympics;Nintendo Game Boy;;1992;;;;;;;;;;;;;;;;
aafb;All American Football;Arcade;;1989;;;;;;;;;;;;;;;;
All Star Soccer;All Star Soccer;Sony Playstation;;2001;;;;;;;;;;;;;;;;
Super Slammin' Dodgeball;All Star Super Slammin' Dodgeball;Sony Playstation;;2001;;;;;;;;;;;;;;;;
All Star Tennis '99 (USA);All Star Tennis '99;Nintendo 64;;1999;;;;;;;;;;;;;;;;
All Star Tennis 2000 (Europe);All Star Tennis 2000;Nintendo Game Boy Color;;1999;;;;;;;;;;;;;;;;
All Star Tennis 2000;All Star Tennis 2000;Sony Playstation;;2000;;;;;;;;;;;;;;;;
All-Pro Basketball (USA);All-Pro Basketball;Nintendo Entertainment System;;1989;;;;;;;;;;;;;;;;
All-Star Baseball '99 (USA);All-Star Baseball '99;Nintendo 64;;1998;;;;;;;;;;;;;;;;
All-Star Baseball 2000 (USA);All-Star Baseball 2000;Nintendo 64;;1999;;;;;;;;;;;;;;;;
All-Star Baseball 2000 (USA, Europe);All-Star Baseball 2000;Nintendo Game Boy Color;;1999;;;;;;;;;;;;;;;;
All-Star Baseball 2001 (USA);All-Star Baseball 2001;Nintendo 64;;2000;;;;;;;;;;;;;;;;
All-Star Baseball 2001 (USA);All-Star Baseball 2001;Nintendo Game Boy Color;;2000;;;;;;;;;;;;;;;;
All-Star Baseball 97 featuring Frank Thomas;All-Star Baseball 97 featuring Frank Thomas;Sony Playstation;;1997;;;;;;;;;;;;;;;;
All-Star Baseball '99 (USA);All-Star Baseball 99;Nintendo Game Boy;;1998;;;;;;;;;;;;;;;;
alleymas;Alley Master;Arcade;;1986;;;;;;;;;;;;;;;;
alpinerc;Alpine Racer;Arcade;alpinerd;1994;;;;;;;;;;;;;;;;
alpinr2a;Alpine Racer 2;Arcade;alpinr2b;1996;;;;;;;;;;;;;;;;
alpine;Alpine Ski;Arcade;;1982;;;;;;;;;;;;;;;;
American Gladiators (USA);American Gladiators;Nintendo Entertainment System;;1991;;;;;;;;;;;;;;;;
American Gladiators (USA);American Gladiators;Sega Genesis;;1992;;;;;;;;;;;;;;;;
American Gladiators (USA);American Gladiators;Super Nintendo Entertainment System;;1993;;;;;;;;;;;;;;;;
horshoes;American Horseshoes;Arcade;;1990;;;;;;;;;;;;;;;;
American Pool;American Pool;Sony Playstation;;2001;;;;;;;;;;;;;;;;
asoccer;American Soccer;Arcade;idsoccer;1987;;;;;;;;;;;;;;;;
amerdart;AmeriDarts;Arcade;;1989;;;;;;;;;;;;;;;;
Andre Agassi Tennis (USA, Europe);Andre Agassi Tennis;Sega Game Gear;;1994;;;;;;;;;;;;;;;;
Andre Agassi Tennis (USA);Andre Agassi Tennis;Sega Genesis;;1992;;;;;;;;;;;;;;;;
Andre Agassi Tennis (USA);Andre Agassi Tennis;Super Nintendo Entertainment System;;1994;;;;;;;;;;;;;;;;
Andretti Racing;Andretti Racing;Sony Playstation;;1996;;;;;;;;;;;;;;;;
cadanglr;Angler Dangler;Arcade;;1982;;;;;;;;;;;;;;;;
Animaniacs - Ten Pin Alley;Animaniacs: Ten Pin Alley;Sony Playstation;;2000;;;;;;;;;;;;;;;;
Antz World Sportz (Europe) (En,Fr,De,Es,It,Nl);Antz World Sportz;Nintendo Game Boy Color;;2001;;;;;;;;;;;;;;;;
appoooh;Appoooh;Arcade;;1984;;;;;;;;;;;;;;;;
Arcade Darts (USA);Arcade Darts;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Arcade Pool (USA);Arcade Pool;Sony PSP Minis;;2012;;;;;;;;;;;;;;;;
archrivl;Arch Rivals;Arcade;;1989;;;;;;;;;;;;;;;;
