#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Dracula Unleashed (USA) (Disc 2);Dracula Unleashed - Disc 2;Mega CD;;1993;;;;;;;;;;;;
Dracula - Resurreccion - Disk 1;Dracula: Resurreccion - Disc 1;Sony Playstation;;1999;;;;;;;;;;;;
Dracula - Resurreccion - Disk 2;Dracula: Resurreccion - Disc 2;Sony Playstation;;1999;;;;;;;;;;;;
Dragon Warrior I & II (USA);Dragon Warrior I & II;Nintendo Game Boy Color;;2000;;;;;;;;;;;;
Dragons Lair 3D - Return To The Lair;Dragon's Lair 3D: Return To The Lair;Nintendo Gamecube;;2002;;;;;;;;;;;;
Dragonriders - Chronicles of Pern;Dragonriders: Chronicles of Pern;Sega Dreamcast;;2001;;;;;;;;;;;;
Duck Dodgers Starring Daffy Duck (USA) (En,Fr,Es);Duck Dodgers Starring Daffy Duck;Nintendo 64;;2000;;;;;;;;;;;;
Duke Nukem - Time to Kill;Duke Nukem: Time to Kill;Sony Playstation;;1998;;;;;;;;;;;;
Dune (USA);Dune;Mega CD;;1993;;;;;;;;;;;;
Dungeon Magic - Sword of the Elements (USA);Dungeon Magic: Sword of the Elements;Nintendo Entertainment System;;1990;;;;;;;;;;;;
Earnest Evans (USA);Earnest Evans;Sega Genesis;;1992;;;;;;;;;;;;
Ecco - The Tides of Time (USA);Ecco: The Tides of Time;Sega Genesis;;1994;;;;;;;;;;;;
Ed, Edd n Eddy - The Mis-Edventures (USA) (En,Fr);Ed, Edd n Eddy: The Mis-Edventures;Nintendo Game Boy Advance;;2005;;;;;;;;;;;;
Ed, Edd n Eddy - The Mis-Edventures;Ed, Edd n Eddy: The Mis-Edventures;Nintendo Gamecube;;2005;;;;;;;;;;;;
Elemental Gimmick Gear;Elemental Gimmick Gear;Sega Dreamcast;;1999;;;;;;;;;;;;
Equinox (USA);Equinox;Super Nintendo Entertainment System;;1993;;;;;;;;;;;;
Evil Dead - Hail to the King;Evil Dead: Hail to the King;Sega Dreamcast;;2000;;;;;;;;;;;;
Evil Dead - Hail to the King - Disk 1;Evil Dead: Hail to the King - Disc 1;Sony Playstation;;2000;;;;;;;;;;;;
Evil Dead - Hail to the King - Disk 2;Evil Dead: Hail to the King - Disc 2;Sony Playstation;;2000;;;;;;;;;;;;
Evolution 2 - Far Off Promise;Evolution 2: Far Off Promise;Sega Dreamcast;;2000;;;;;;;;;;;;
Exhumed;Exhumed;Sony Playstation;;1996;;;;;;;;;;;;
Fade to Black;Fade to Black;Sony Playstation;;1995;;;;;;;;;;;;
Fantastic Dizzy (Europe) (En,Fr,De,Es,It);Fantastic Dizzy;Sega Game Gear;;1993;;;;;;;;;;;;
Fantastic Dizzy (USA, Europe) (En,Fr,De,Es,It);Fantastic Dizzy;Sega Genesis;;1993;;;;;;;;;;;;
Fantastic Dizzy (E) [!];Fantastic Dizzy;Sega Master System;;1993;;;;;;;;;;;;
Fatal Labyrinth (USA, Europe);Fatal Labyrinth;Sega Genesis;;1991;;;;;;;;;;;;
Faxanadu (USA) (Rev A);Faxanadu;Nintendo Entertainment System;;1987;;;;;;;;;;;;
Felix the Cat (USA);Felix the Cat;Nintendo Entertainment System;;1992;;;;;;;;;;;;
Felix the Cat (USA, Europe);Felix the Cat;Nintendo Game Boy;;1993;;;;;;;;;;;;
Fighting Force 2;Fighting Force 2;Sega Dreamcast;;1999;;;;;;;;;;;;
Fighting Force 2;Fighting Force 2;Sony Playstation;;1999;;;;;;;;;;;;
Final Fantasy Adventure (USA);Final Fantasy Adventure;Nintendo Game Boy;;1998;;;;;;;;;;;;
Flashback - The Quest for Identity (USA);Flashback: The Quest for Identity;Super Nintendo Entertainment System;;1993;;;;;;;;;;;;
Frogger;Frogger;Sony Playstation;;1997;;;;;;;;;;;;
FullMetal Alchemist - Brotherhood;FullMetal Alchemist: Brotherhood;Sony PSP;;2010;;;;;;;;;;;;
Gargoyle's Quest II - The Demon Darkness (USA);Gargoyle's Quest II: The Demon Darkness;Nintendo Entertainment System;;1992;;;;;;;;;;;;
Gex;Gex;Sony Playstation;;1996;;;;;;;;;;;;
Gex 3D - Enter the Gecko;Gex 3D: Enter the Gecko;Sony Playstation;;1998;;;;;;;;;;;;
Gex 64 - Enter the Gecko (USA);Gex 64: Enter the Gecko;Nintendo 64;;1998;;;;;;;;;;;;
Gex - Enter the Gecko (USA, Europe);Gex: Enter the Gecko;Nintendo Game Boy Color;;1998;;;;;;;;;;;;
Ghost Rider (USA, Europe) (En,Fr,De,Es,It,Nl);Ghost Rider;Nintendo Game Boy Advance;;2007;;;;;;;;;;;;
Ghost Rider;Ghost Rider;Sony PSP;;2007;;;;;;;;;;;;
God Of War;God Of War;Sony Playstation 2;;2007;;;;;;;;;;;;
God Of War 2;God Of War 2;Sony Playstation 2;;2005;;;;;;;;;;;;
God Of War - Chains Of Olympus;God Of War: Chains Of Olympus;Sony PSP;;2008;;;;;;;;;;;;
God Of War - Ghost Of Sparta;God Of War: Ghost Of Sparta;Sony PSP;;2010;;;;;;;;;;;;
Goemon's Great Adventure (USA);Goemon's Great Adventure;Nintendo 64;;1999;;;;;;;;;;;;
Gold and Glory - The Road to El Dorado (USA);Gold and Glory: The Road to El Dorado;Nintendo Game Boy Color;;2000;;;;;;;;;;;;
Gold and Glory - The Road to El Dorado;Gold and Glory: The Road to El Dorado;Sony Playstation;;2000;;;;;;;;;;;;
goldnaxe;Golden Axe;Arcade;;1989;;;;;;;;;;;;
Golden Axe (UE) [!];Golden Axe;Sega Master System;;1989;;;;;;;;;;;;
ga2;Golden Axe: The Revenge of Death Adder;Arcade;;1992;;;;;;;;;;;;
