#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Caspers Scare School - Spooky Sports Day (EU);Caspers Scare School - Spooky Sports Day (EU);Nintendo Wii;;;;;1;;;;;;;Casper's Scare School: Spooky Sports Day;;;;;;
Castlevania Judgment (EU);Castlevania Judgment (EU);Nintendo Wii;;;;;2;;;;;;;Castlevania Judgment;;;;;;
Cate West - The Vanishing Files (EU);Cate West - The Vanishing Files (EU);Nintendo Wii;;;;;1;;;;;;;Cate West: The Vanishing Files;;;;;;
Celebrity Sports Showdown (EU);Celebrity Sports Showdown (EU);Nintendo Wii;;;;;4;;;;;;;Celebrity Sports Showdown;;;;;;
Challenge Me - Brain Puzzles 2 (EU);Challenge Me - Brain Puzzles 2 (EU);Nintendo Wii;;;;;;;;;;;;;;;;;;
Challenge Me - Word Puzzles (EU);Challenge Me - Word Puzzles (EU);Nintendo Wii;;;;;1;;;;;;;Challenge Me: Word Puzzles;;;;;;
Champion Jockey - G1 Jockey and Gallop Racer (EU);Champion Jockey - G1 Jockey and Gallop Racer (EU);Nintendo Wii;;;;;;;;;;;;;;;;;;
Chaos a La Maison (EU);Chaos a La Maison (EU);Nintendo Wii;;;;;;;;;;;;;;;;;;
Cheggers Party Quiz (EU);Cheggers Party Quiz (EU);Nintendo Wii;;;;;4;;;;;;;Cheggers Party Quiz;;;;;;
The Chronicles of Narnia - Prince Caspian (EU);The Chronicles of Narnia - Prince Caspian (EU);Nintendo Wii;;;;;;;;;;;;The Chronicles of Narnia: Prince Caspian;;;;;;
Circus (EU);Circus (EU);Nintendo Wii;;;;;2;;;;;;;Circus;;;;;;
Classic British Motor Racing (EU);Classic British Motor Racing (EU);Nintendo Wii;;;;;2;;;;;;;Classic British Motor Racing;;;;;;
Cocoto Kart Racer (EU);Cocoto Kart Racer (EU);Nintendo Wii;;;;;4;;;;;;;Cocoto Kart Racer;;;;;;
Cocoto Kart Racer 2 (EU);Cocoto Kart Racer 2 (EU);Nintendo Wii;;;;;;;;;;;;Cocoto Kart Racer 2;;;;;;
Combat of Giants - Dinosaurs Strike (EU);Combat of Giants - Dinosaurs Strike (EU);Nintendo Wii;;;;;;;;;;;;;;;;;;
Cook-off Party (EU);Cook-off Party (EU);Nintendo Wii;;;;;4;;;;;;;Cook-Off Party;;;;;;
Coraline (EU);Coraline (EU);Nintendo Wii;;;;;1;;;;;;;Coraline;;;;;;
Cosmic Family (EU);Cosmic Family (EU);Nintendo Wii;;;;;1;;;;;;;Cosmic Family;;;;;;
Countdown - The Game (EU);Countdown - The Game (EU);Nintendo Wii;;;;;;;;;;;;;;;;;;
Crash - Mind Over Mutant (EU);Crash - Mind Over Mutant (EU);Nintendo Wii;;;;;2;;;;;;;Crash: Mind Over Mutant;;;;;;
Crash Car Racer (EU);Crash Car Racer (EU);Nintendo Wii;;;;;;;;;;;;;;;;;;
Crash of the Titans (EU);Crash of the Titans (EU);Nintendo Wii;;;;;1;;;;;;;Crash of the Titans;;;;;;
Crazy Machines (EU);Crazy Machines (EU);Nintendo Wii;;;;;;;;;;;;Crazy Machines;;;;;;
Crazy Quiz! Are You Crazy Enough (EU);Crazy Quiz! Are You Crazy Enough (EU);Nintendo Wii;;;;;;;;;;;;;;;;;;
The Croods - Prehistoric Party! (EU);The Croods - Prehistoric Party! (EU);Nintendo Wii;;;;;1;;;;;;;The Croods: Prehistoric Party!;;;;;;
The Crown of Midas (EU);The Crown of Midas (EU);Nintendo Wii;;;;;;;;;;;;;;;;;;
Cruisn (EU);Cruisn (EU);Nintendo Wii;;;;;2;;;;;;;Cruis'n;;;;;;
Cursed Mountain (EU);Cursed Mountain (EU);Nintendo Wii;;;;;1;;;;;;;Cursed Mountain;;;;;;
Cyberbike Cycling Sports (EU);Cyberbike Cycling Sports (EU);Nintendo Wii;;;;;;;;;;;;;;;;;;
Dave Mirra BMX Challenge (EU);Dave Mirra BMX Challenge (EU);Nintendo Wii;;;;;1;;;;;;;Dave Mirra BMX Challenge;;;;;;
