#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
River City Girls;River City Girls;PC Games;;2019;;;;;;;;;;;;
River City Ransom (USA);River City Ransom;Nintendo Entertainment System;;1989;;;;;;;;;;;;
River City Ransom Underground;River City Ransom Underground;PC Games;;2017;;;;;;;;;;;;
roboarmy;Robo Army;Final Burn Alpha;;1991;;;;;;;;;;;;
sailormn;Sailor Moon;Final Burn Alpha;;1995;;;;;;;;;;;;
Sailor Moon (France);Sailor Moon;Super Nintendo Entertainment System;;1994;;;;;;;;;;;;
sengoku;Sengoku;Final Burn Alpha;;1991;;;;;;;;;;;;
sengoku2;Sengoku 2;Final Burn Alpha;;1993;;;;;;;;;;;;
sengoku3;Sengoku 3;Final Burn Alpha;;2001;;;;;;;;;;;;
shadfrce;Shadow Force;Final Burn Alpha;;1993;;;;;;;;;;;;
Shaq Fu A Legend Reborn Barack Fu;Shaq Fu A Legend Reborn Barack Fu;PC Games;;2018;;;;;;;;;;;;
Shing;Shing!;PC Games;;2020;;;;;;;;;;;;
silentd;Silent Dragon;Final Burn Alpha;;1992;;;;;;;;;;;;
silkroad;Silkroad;Final Burn Alpha;;1999;;;;;;;;;;;;
skullxbo;Skull & Crossbones;Arcade;;1989;;;;;;;;;;;;
Spider-Man and Venom - Maximum Carnage (World);Spider-Man and Venom: Maximum Carnage;Sega Genesis;;1994;;;;;;;;;;;;
Spider-Man and Venom - Separation Anxiety (USA, Europe);Spider-Man and Venom: Separation Anxiety;Sega Genesis;;1995;;;;;;;;;;;;
spidman;Spider-Man: The Video Game;Arcade;;1991;;;;;;;;;;;;
spikeout;Spikeout;Sega Model 3;;1998;;;;;;;;;;;;
spikeofe;Spikeout Final Edition;Sega Model 3;;1999;;;;;;;;;;;;
splatter;Splatterhouse;Final Burn Alpha;;1988;;;;;;;;;;;;
Splatterhouse (USA);Splatterhouse;NEC Turbografx-16;;1990;;;;;;;;;;;;
Splatterhouse 2 (USA);Splatterhouse 2;Sega Genesis;;1992;;;;;;;;;;;;
Splatterhouse 3 (USA);Splatterhouse 3;Sega Genesis;;1993;;;;;;;;;;;;
Star Wars - Episodio I - Jedi Power Battles;Star Wars: Episode I - Jedi Power Battles;Sony Playstation;;2000;;;;;;;;;;;;
STAY COOL KOBAYASHI-SAN! A RIVER CITY RANSOM STORY;Stay Cool Kobayashi-San! A River City Ransom Story;PC Games;;2017;;;;;;;;;;;;
Street Smart (Japan, USA);Street Smart;Sega Genesis;;1991;;;;;;;;;;;;
Streets of Rage (USA);Streets of Rage;Sega Genesis;;1991;;;;;;;;;;;;
Streets of Rage 2 (USA);Streets of Rage 2;Sega Genesis;;1992;;;;;;;;;;;;
Streets of Rage 3 (USA);Streets of Rage 3;Sega Genesis;;1994;;;;;;;;;;;;
Streets of Rage 4 Mr X Nightmare;Streets of Rage 4 Mr X Nightmare;PC Games;;2020;;;;;;;;;;;;
Streets of Red Devil's Dare Deluxe;Streets of Red Devil's Dare Deluxe;PC Games;;2016;;;;;;;;;;;;
Super Double Dragon (USA);Super Double Dragon;Super Nintendo Entertainment System;;1992;;;;;;;;;;;;
superman;Superman;Final Burn Alpha;;1988;;;;;;;;;;;;
TMNT (USA) (En,Fr,Es);T.M.N.T: Teenage Mutant Ninja Turtles;Nintendo Game Boy Advance;;2003;;;;;;;;;;;;
T'ai Fu - Wrath of the Tiger;T'ai Fu: Wrath of the Tiger;Sony Playstation;;1999;;;;;;;;;;;;
Takeda Shingen (Japan);Takeda Shingen;NEC PC Engine;;1989;;;;;;;;;;;;
tmnt;Teenage Mutant Ninja Turtles;Final Burn Alpha;;1989;;;;;;;;;;;;
Teenage Mutant Ninja Turtles;Teenage Mutant Ninja Turtles;Nintendo Gamecube;;2003;;;;;;;;;;;;
Teenage Mutant Ninja Turtles 3 - Mutant Nightmare (USA) (Disc 1);Teenage Mutant Ninja Turtles 3: Mutant Nightmare - Disc 1;Nintendo Gamecube;;2005;;;;;;;;;;;;
Teenage Mutant Ninja Turtles 3 - Mutant Nightmare (USA) (Disc 2);Teenage Mutant Ninja Turtles 3: Mutant Nightmare - Disc 2;Nintendo Gamecube;;2005;;;;;;;;;;;;
Teenage Mutant Ninja Turtles II - The Arcade Game (USA);Teenage Mutant Ninja Turtles II: The Arcade Game;Nintendo Entertainment System;;1990;;;;;;;;;;;;
Teenage Mutant Ninja Turtles III - The Manhattan Project (USA);Teenage Mutant Ninja Turtles III: The Manhattan Project;Nintendo Entertainment System;;1992;;;;;;;;;;;;
Teenage Mutant Ninja Turtles IV - Turtles in Time (USA);Teenage Mutant Ninja Turtles IV: Turtles in Time;Super Nintendo Entertainment System;;1992;;;;;;;;;;;;
Teenage Mutant Ninja Turtles Shredders Revenge;Teenage Mutant Ninja Turtles Shredders Revenge;PC Games;;2022;;;;;;;;;;;;
Teenage Mutant Ninja Turtles - Mutant Melee;Teenage Mutant Ninja Turtles: Mutant Melee;Nintendo Gamecube;;2005;;;;;;;;;;;;
Teenage Mutant Ninja Turtles - The Hyperstone Heist (USA);Teenage Mutant Ninja Turtles: The Hyperstone Heist;Sega Genesis;;1992;;;;;;;;;;;;
tmnt2;Teenage Mutant Ninja Turtles: Turtles in Time;Final Burn Alpha;;1991;;;;;;;;;;;;
bigfight;The Big Fight;Arcade;;1992;;;;;;;;;;;;
Combatribes, The (USA);The Combatribes;Super Nintendo Entertainment System;;1992;;;;;;;;;;;;
crysking;The Crystal Of Kings;Arcade;;2001;;;;;;;;;;;;
Death and Return of Superman, The (USA);The Death and Return of Superman;Sega Genesis;;1994;;;;;;;;;;;;
Death and Return of Superman, The (USA);The Death and Return of Superman;Super Nintendo Entertainment System;;1994;;;;;;;;;;;;
theglad;The Gladiator;Final Burn Alpha;;1992;;;;;;;;;;;;
The Incredible Hulk Ultimate Destruction;The Incredible Hulk: Ultimate Destruction;Nintendo Gamecube;;2005;;;;;;;;;;;;
King of Dragons, The (USA);The King of Dragons;Super Nintendo Entertainment System;;1994;;;;;;;;;;;;
Kung Fu, The (Japan);The Kung Fu;NEC PC Engine;;1987;;;;;;;;;;;;
Ninja Warriors, The (Japan);The Ninja Warriors;NEC PC Engine;;1990;;;;;;;;;;;;
Ninja Warriors, The (USA);The Ninja Warriors;Super Nintendo Entertainment System;;1994;;;;;;;;;;;;
Peace Keepers, The (USA);The Peace Keepers;Super Nintendo Entertainment System;;1994;;;;;;;;;;;;
Pirates of Dark Water, The (USA);The Pirates of Dark Water;Super Nintendo Entertainment System;;1994;;;;;;;;;;;;
punisher;The Punisher;Final Burn Alpha;;1993;;;;;;;;;;;;
Punisher, The (USA);The Punisher;Sega Genesis;;1994;;;;;;;;;;;;
simpsons;The Simpsons;Final Burn Alpha;;1991;;;;;;;;;;;;
superspy;The Super Spy;Final Burn Alpha;;1990;;;;;;;;;;;;
The TakeOver;The TakeOver;PC Games;;2019;;;;;;;;;;;;
Tick, The (USA);The Tick;Sega Genesis;;1994;;;;;;;;;;;;
The Warriors;The Warriors;Sony PSP;;2005;;;;;;;;;;;;
theroes;Thunder Heroes;Final Burn Alpha;;2001;;;;;;;;;;;;
TMNT;TMNT;Nintendo Gamecube;;2007;;;;;;;;;;;;
TMNT - Teenage Mutant Ninja Turtles;TMNT: Teenage Mutant Ninja Turtles;Sony PSP;;2007;;;;;;;;;;;;
TMNT2-Battle Nexus CD1;TMNT2: Battle Nexus - Disc 1;Nintendo Gamecube;;2004;;;;;;;;;;;;
TMNT2-Battle Nexus CD2;TMNT2: Battle Nexus - Disc 2;Nintendo Gamecube;;2004;;;;;;;;;;;;
tturf;Tough Turf;Final Burn Alpha;;1989;;;;;;;;;;;;
Toxic Crusaders (USA);Toxic Crusaders;Sega Genesis;;1992;;;;;;;;;;;;
twocrude;Two Crude;Final Burn Alpha;;1990;;;;;;;;;;;;
Two Crude Dudes (USA);Two Crude Dudes;Sega Genesis;;1991;;;;;;;;;;;;
Unbound Saga;Unbound Saga;Sony PSP;;2009;;;;;;;;;;;;
Undead Knights;Undead Knights;Sony PSP;;2009;;;;;;;;;;;;
uccops;Undercover Cops;Final Burn Alpha;;1992;;;;;;;;;;;;
Unruly Heroes;Unruly Heroes;PC Games;;2019;;;;;;;;;;;;
vamphalf;Vampire Hunter 2: Darkstalkers' Revenge;Arcade;;1997;;;;;;;;;;;;
vendetta;Vendetta;Final Burn Alpha;;1991;;;;;;;;;;;;
vigilant;Vigilante;Final Burn Alpha;;1988;;;;;;;;;;;;
Vigilante (USA);Vigilante;NEC Turbografx-16;;1989;;;;;;;;;;;;
viostorm;Violent Storm;Final Burn Alpha;;1993;;;;;;;;;;;;
warriorb;Warrior Blade: Rastan Saga Episode III;Arcade;;1992;;;;;;;;;;;;
wof;Warriors of Fate;Final Burn Alpha;;1992;;;;;;;;;;;;
wildfang;Wild Fang;Final Burn Alpha;;1989;;;;;;;;;;;;
wizdfire;Wizard Fire;Final Burn Alpha;;1992;;;;;;;;;;;;
