#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Ms. Pac-Man - Maze Madness;Ms. Pac-Man - Maze Madness;Sega Dreamcast;;;;;;;;;;;;Ms. Pac-Man Maze Madness;;;;;;
NBA 2K;NBA 2K;Sega Dreamcast;;;;;;;;;;;;NBA 2K;;;;;;
NBA 2K1;NBA 2K1;Sega Dreamcast;;;;;;;;;;;;NBA 2K1;;;;;;
NBA 2K2;NBA 2K2;Sega Dreamcast;;;;;;;;;;;;NBA 2K2;;;;;;
NBA Hoopz;NBA Hoopz;Sega Dreamcast;;;;;;;;;;;;NBA Hoopz;;;;;;
NBA Showtime - NBA on NBC;NBA Showtime - NBA on NBC;Sega Dreamcast;;;;;;;;;;;;NBA Show Time: NBA on NBC;;;;;;
NEO XYX;NEO XYX;Sega Dreamcast;;;;;;;;;;;;Neo XYX;;;;;;
Next Tetris;Next Tetris;Sega Dreamcast;;;;;2;;;;;;;The Next Tetris;;;;;;
Nightmare Creatures II;Nightmare Creatures II;Sega Dreamcast;;;;;1;;;;;;;Nightmare Creatures II;;;;;;
Omikron - The Nomad Soul;Omikron - The Nomad Soul;Sega Dreamcast;;;;;1;;;;;;;Omikron: The Nomad Soul;;;;;;
Ooga Booga;Ooga Booga;Sega Dreamcast;;;;;4;;;;;;;Ooga Booga;;;;;;
Outtrigger;Outtrigger;Sega Dreamcast;;;;;4;;;;;;;Outtrigger;;;;;;
POD - Speedzone;POD - Speedzone;Sega Dreamcast;;;;;4;;;;;;;POD: Speedzone;;;;;;
PenPen TriIcelon;PenPen TriIcelon;Sega Dreamcast;;;;;1;;;;;;;Pen Pen TriIcelon;;;;;;
Phantasy Star Online;Phantasy Star Online;Sega Dreamcast;;;;;4;;;;;;;Phantasy Star Online;;;;;;
Phantasy Star Online Ver. 2;Phantasy Star Online Ver. 2;Sega Dreamcast;;;;;;;;;;;;Phantasy Star Online Ver. 2;;;;;;
