#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Cowboy Kid (USA);Cowboy Kid (USA);Nintendo Entertainment System Multiplayer;;1992;Romstar;Action / Adventure;2;;;;;;;;;
Crisis Force (Japan) [En by Stardust Crusaders v1.0];Crisis Force;Nintendo Entertainment System Multiplayer;;;;;;;;;;;;;;
Death Race (USA) (Unl);Death Race (USA) (Unl);Nintendo Entertainment System Multiplayer;;1991;American Game Cartridges;Racing;;;;;;;;;;
Devil World (Europe);Devil World (Europe);Nintendo Entertainment System Multiplayer;;1984;Nintendo;Puzzle;2;;;;;;;;;
Double Dragon (USA);Double Dragon (USA);Nintendo Entertainment System Multiplayer;;1987;Taito;Action;2;;;;;;;;;
Double Dragon II - The Revenge (USA) (Rev A);Double Dragon II - The Revenge (USA) (Rev A);Nintendo Entertainment System Multiplayer;;1988;Technos Japan;Action;2;;;;;;;;;
Double Dragon III - The Sacred Stones (USA);Double Dragon III - The Sacred Stones (USA);Nintendo Entertainment System Multiplayer;;1990;Technos Japan;Action;2;;;;;;;;;
Double Strike - Aerial Attack Force (USA) (Unl) (v1.1);Double Strike - Aerial Attack Force (USA) (Unl) (v1.1);Nintendo Entertainment System Multiplayer;;;;;;;;;;;;;;
Dudes With Attitude (USA) (Unl);Dudes With Attitude (USA) (Unl);Nintendo Entertainment System Multiplayer;;1990;American Video Entertainment;Puzzle;;;;;;;;;;
Gauntlet (USA);Gauntlet (USA);Nintendo Entertainment System Multiplayer;;1987;Tengen;Action / Adventure;1;;;;;;;;;
Gauntlet II (USA);Gauntlet II (USA);Nintendo Entertainment System Multiplayer;;1990;Mindscape;Action / Adventure;4+;;;;;;;;;
Guerrilla War (USA);Guerrilla War (USA);Nintendo Entertainment System Multiplayer;;1989;SNK;Action / Shooter;2;;;;;;;;;
Heavy Barrel (USA);Heavy Barrel (USA);Nintendo Entertainment System Multiplayer;;1987;Data East;Strategy;1;;;;;;;;;
Ice Climber (USA, Europe);Ice Climber (USA, Europe);Nintendo Entertainment System Multiplayer;;1985;Nintendo;Action;2;;;;;;;;;
Ikari III - The Rescue (USA);Ikari III - The Rescue (USA);Nintendo Entertainment System Multiplayer;;1991;SNK;Action / Shooter;2;;;;;;;;;
Ikari Warriors (USA) (Rev A);Ikari Warriors (USA) (Rev A);Nintendo Entertainment System Multiplayer;;1987;Tradewest;Action / Shooter;2;;;;;;;;;
