#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
HAL 21 (USA);HAL 21;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
Hello Flowerz (USA);Hello Flowerz;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Heracles - Chariot Racing (USA);Heracles: Chariot Racing;Sony PSP Minis;;2009;;;;;;;;;;;;;;;;
Hero of Sparta (USA);Hero of Sparta;Sony PSP Minis;;2009;;;;;;;;;;;;;;;;
History - Egypt - Engineering An Empire (USA);History - Egypt: Engineering an Empire;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
History - Ice Road Truckers (USA);History: Ice Road Truckers;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Homerun Hitters (USA);Homerun Hitters;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Hotel Mogul (USA);Hotel Mogul;Sony PSP Minis;;2012;;;;;;;;;;;;;;;;
Hungry Giraffe (USA);Hungry Giraffe;Sony PSP Minis;;2012;;;;;;;;;;;;;;;;
Hysteria Project (USA);Hysteria Project;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Hysteria Project 2 (USA);Hysteria Project 2;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
I Must Run! (USA);I Must Run!;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Idiot Squad (USA);Idiot Squad;Sony PSP Minis;;2012;;;;;;;;;;;;;;;;
Ikari III - The Rescue (USA);Ikari III: The Rescue;Sony PSP Minis;;2012;;;;;;;;;;;;;;;;
Ikari Warriors (USA);Ikari Warriors;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
Influence (USA);Influence;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
International Snooker (Europe);International Snooker;Sony PSP Minis;;2009;;;;;;;;;;;;;;;;
Janes Hotel (USA);Jane's Hotel;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Jelly Pops (USA);Jelly Pops;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
Jelly Car 2 (USA);JellyCar 2;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Jetpack Joyride (USA);Jetpack Joyride;Sony PSP Minis;;2012;;;;;;;;;;;;;;;;
Jewel Keepers Easter Island (USA);Jewel Keepers Easter Island;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Kahoots (USA);Kahoots;Sony PSP Minis;;2009;;;;;;;;;;;;;;;;
Kaleidoscope (Interactive Synaesthesia Project) (USA);Kaleidoscope (Interactive Synaesthesia Project);Sony PSP Minis;;2012;;;;;;;;;;;;;;;;
Karimogi (USA);Karimogi;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
Knight Fortix 2 (USA);Knight Fortix 2;Sony PSP Minis;;2012;;;;;;;;;;;;;;;;
Labyrinth (Europe);Labyrinth;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
Left to Die in Zombhai (Europe);Left to Die in Zombhai;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
Legend Of Kunoichi (USA);Legend of Kunoichi;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Lets Golf! (USA);Let's Golf;Sony PSP Minis;;2009;;;;;;;;;;;;;;;;
Lock n Chase (USA);Lock 'n' Chase;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Love Cupid (USA);Love Cupid;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
M.O.Z.O.X. Space Salvager (USA);M.O.Z.O.X. Space Salvager;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
Mad Blocker Alpha - Revenge of the Fluzzles (USA);Mad Blocker Alpha: Revenge of the Fluzzles;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
Mahjong Solitaire (USA);Mahjong Solitaire;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Mahjongg Artifacts (USA);Mahjongg Artifacts;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Mahjongg Artifacts - Chapter 2 (USA);Mahjongg Artifacts: Chapter 2;Sony PSP Minis;;2009;;;;;;;;;;;;;;;;
Manic Monkey Mayhem (USA);Manic Monkey Mayhem;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Marvins Maze (USA);Marvin's Maze;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
Me Monstar - Hear Me Roar! (USA);Me Monstar: Hear Me Roar!;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
MENA Speed (Europe);Mena Speed;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
Metara (Europe);Metara;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
Mighty Flip Champs! DX (USA);Mighty Flip Champs! DX;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
MiniSquadron (USA);MiniSquadron;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
Monochrome Racing (USA);Monochrome Racing;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
Monopoly (USA);Monopoly;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Monsters (probably) Stole My Princess (USA);Monsters (Probably) Stole My Princess;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Mr. Hat and the Magic Cube (Europe);Mr. Hat and the Magic Cube;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
Music Quiz (USA);Music Quiz;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
N.O.V.A. Near Orbit Vanguard Alliance (USA);N.O.V.A. Near Orbit Vanguard Alliance;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Ninjamurai (USA);Ninjamurai;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
Nocturnal (Europe);Nocturnal;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
Nom Nation (Europe);Nom Nation;Sony PSP Minis;;2012;;;;;;;;;;;;;;;;
Normal Tanks (USA);NormalTanks;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Numba (Europe);Numba;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
OMG-Z (USA);OMG-Z;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
One Epic Game (USA);One Epic Game;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
One Two Boat Racing (USA);One Two Boat Racing;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Orbit (USA);Orbit;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
Ozma Wars (USA);Ozma Wars;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
P.O.W. - Prisoners of War (USA);P.O.W.: Prisoners of War;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
PAC-MAN Championship Edition (USA);Pac-Man Championship Edition;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
Pachisi (Europe);Pachisi;Sony PSP Minis;;2009;;;;;;;;;;;;;;;;
Pallurikio (USA);Pallurikio;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Panda Craze (USA);Panda Craze;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Paper Wars - Cannon Fodder (USA);Paper Wars: Cannon Fodder;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
Phase Shift - Threats Beyond The Network (Asia);Phase Shift: Threats Beyond The Network;Sony PSP Minis;;2013;;;;;;;;;;;;;;;;
Pile Up! Bakery (USA);Pile Up! Bakery;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Pinball Dreams (USA);Pinball Dreams;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Pinball Duel (USA);Pinball Duel;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Pinball Fantasies (USA);Pinball Fantasies;Sony PSP Minis;;2009;;;;;;;;;;;;;;;;
Pipe Madness (USA);Pipe Madness;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
Pixn Love Rush (USA);Pix'n Love Rush;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
Piyotama (Europe);Piyotama;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Prehistoric Isle (USA);Prehistoric Isle;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
Psycho Soldier (USA);Psycho Soldier;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
Puzzle Scape (Europe);Puzzle Scape;Sony PSP Minis;;2009;;;;;;;;;;;;;;;;
Quiz Animania (USA);Quiz Animania;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Ramen Heaven (USA);Ramen Heaven;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Rasmus Klump and the Big Maze (Europe);Rasmus Klump and the Big Maze;Sony PSP Minis;;2012;;;;;;;;;;;;;;;;
Rasmus Klump in Pingonesien (Europe);Rasmus Klump in Pingonesien;Sony PSP Minis;;2012;;;;;;;;;;;;;;;;
Rasmus Klump is saving the Chickens (Europe);Rasmus Klump is saving the Chickens;Sony PSP Minis;;2012;;;;;;;;;;;;;;;;
Redbull X-fighters (USA);Red Bull X-Fighters;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Reef Aquarium (USA);Reef Aquarium;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Retro Cave Flyer (USA);Retro Cave Flyer;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Revoltin Youth (Europe);Revoltin' Youth;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
Rocks N Rockets (USA);Rocks N' Rockets;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Ronnie OSullivans Snooker (USA);Ronnie O'Sullivan's Snooker;Sony PSP Minis;;2012;;;;;;;;;;;;;;;;
Route 66 (USA);Route 66;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Rumble Trucks (USA);Rumble Trucks;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
Run Ghost Run (USA);Run Ghost Run;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
SAR - Search and Rescue (USA);SAR: Search and Rescue;Sony PSP Minis;;2012;;;;;;;;;;;;;;;;
Sasuke vs. Commander (USA);Sasuke vs. Commander;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
Shapo (USA);Shapo;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Sheep Defense (USA);Sheep Defense;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
SHIFT extended (USA);SHIFT extended;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
Shogi (USA);Shogi;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Sky Force (USA);Sky Force;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
SmashBreak (USA);Smashbreak;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Snake Warriors - Training (USA);Snake Warriors: Training;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
Sneezies (USA);Sneezies;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Snowy - The Bears Adventures (USA);Snowy: The Bear's Adventures;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
Bashi Blocks (USA);Soccer Bashi (AKA Bashi Blocks);Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
Solitaire (USA);Solitaire;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
Spaceball Revolution (USA);Spaceball Revolution;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Speedball 2 Evolution (USA);Speedball 2 Evolution;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
Spot The Differences (USA);Spot the Differences!;Sony PSP Minis;;2009;;;;;;;;;;;;;;;;
Stand Ofood (USA);Stand O' Food;Sony PSP Minis;;2009;;;;;;;;;;;;;;;;
Star Hammer Tactics (USA);Star Hammer Tactics;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
Stellar Attack (USA);Stellar Attack;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Stick Man Rescue (USA);Stick Man Rescue;Sony PSP Minis;;2012;;;;;;;;;;;;;;;;
Street Smart (USA);Street Smart;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
Sudoku (USA);Sudoku;Sony PSP Minis;;2009;;;;;;;;;;;;;;;;
Super Fruitfall Deluxe (Europe);Super Fruit Fall;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Supermarket Mania (USA);Supermarket Mania;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Swap Zap (Europe);Swap Zap;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
Sweet Reversi (USA);Sweet Reversi;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
T.N.K. III (USA);T.N.K. III;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
Tehra Dark Warrior (USA);Tehra Dark Warrior;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Telegraph Crosswords (USA);Telegraph Crosswords;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Telegraph Sudoku & Kakuro (USA);Telegraph Sudoku & Kakuro;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Tetraminos (USA);Tetraminos;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
Tetris (USA);Tetris;Sony PSP Minis;;2009;;;;;;;;;;;;;;;;
2D Adventures Of Rotating Octopus Character, The (USA);The 2D Adventures of Rotating Octopus Character;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
Flying Hamster, The (USA);The Flying Hamster;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Impossible Game, The (Europe);The Impossible Game;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
Marbians The (USA);The Marbians;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
